vacancies indexes;symmetries
(6, 88);['c_000', 'm_100', 'm_010', 'm_001', 'm_011', 'm_0-11', '2_100', '2_010', '2_001', '2_011', '2_0-11', '4_100', '-4_100']
(42, 52);['c_000', 'm_100', 'm_010', 'm_001', 'm_101', 'm_-101', '2_100', '2_010', '2_001', '2_101', '2_-101', '4_010', '-4_010']
(46, 48);['c_000', 'm_100', 'm_010', 'm_001', 'm_110', 'm_-110', '2_100', '2_010', '2_001', '2_110', '2_-110', '4_001', '-4_001']
(0, 94);['c_000', 'm_-101', 'm_-110', 'm_0-11', '2_-110', '2_-101', '2_0-11', '3_111', '-3_111']
(2, 92);['c_000', 'm_011', 'm_101', 'm_-110', '2_101', '2_011', '2_-110', '3_11-1', '-3_11-1']
(10, 84);['c_000', 'm_110', 'm_011', 'm_-101', '2_110', '2_011', '2_-101', '3_1-11', '-3_1-11']
(12, 82);['c_000', 'm_110', 'm_101', 'm_0-11', '2_110', '2_101', '2_0-11', '3_-111', '-3_-111']
(1, 93);['c_000', 'm_001', 'm_110', 'm_-110', '2_001', '2_110', '2_-110']
(5, 89);['c_000', 'm_010', 'm_101', 'm_-101', '2_010', '2_101', '2_-101']
(7, 87);['c_000', 'm_010', 'm_101', 'm_-101', '2_010', '2_101', '2_-101']
(11, 83);['c_000', 'm_001', 'm_110', 'm_-110', '2_001', '2_110', '2_-110']
(24, 70);['c_000', 'm_001', 'm_110', 'm_-110', '2_001', '2_110', '2_-110']
(26, 68);['c_000', 'm_010', 'm_101', 'm_-101', '2_010', '2_101', '2_-101']
(27, 67);['c_000', 'm_010', 'm_101', 'm_-101', '2_010', '2_101', '2_-101']
(29, 65);['c_000', 'm_001', 'm_110', 'm_-110', '2_001', '2_110', '2_-110']
(41, 53);['c_000', 'm_100', 'm_011', 'm_0-11', '2_100', '2_011', '2_0-11']
(43, 51);['c_000', 'm_100', 'm_011', 'm_0-11', '2_100', '2_011', '2_0-11']
(44, 50);['c_000', 'm_100', 'm_011', 'm_0-11', '2_100', '2_011', '2_0-11']
(45, 49);['c_000', 'm_100', 'm_011', 'm_0-11', '2_100', '2_011', '2_0-11']
(6, 47);['m_010', 'm_001', 'm_011', 'm_0-11', '2_100', '4_100']
(42, 47);['m_100', 'm_001', 'm_101', 'm_-101', '2_010', '4_010']
(46, 47);['m_100', 'm_010', 'm_110', 'm_-110', '2_001', '4_001']
(47, 48);['m_100', 'm_010', 'm_110', 'm_-110', '2_001', '4_001']
(47, 52);['m_100', 'm_001', 'm_101', 'm_-101', '2_010', '4_010']
(47, 88);['m_010', 'm_001', 'm_011', 'm_0-11', '2_100', '4_100']
(0, 13);['m_-101', 'm_-110', 'm_0-11', '3_111']
(0, 47);['m_-101', 'm_-110', 'm_0-11', '3_111']
(0, 59);['m_-101', 'm_-110', 'm_0-11', '3_111']
(2, 36);['m_011', 'm_101', 'm_-110', '3_11-1']
(2, 47);['m_011', 'm_101', 'm_-110', '3_11-1']
(2, 80);['m_011', 'm_101', 'm_-110', '3_11-1']
(10, 37);['m_110', 'm_011', 'm_-101', '3_1-11']
(10, 47);['m_110', 'm_011', 'm_-101', '3_1-11']
(10, 75);['m_110', 'm_011', 'm_-101', '3_1-11']
(12, 20);['m_110', 'm_101', 'm_0-11', '3_-111']
(12, 47);['m_110', 'm_101', 'm_0-11', '3_-111']
(12, 56);['m_110', 'm_101', 'm_0-11', '3_-111']
(13, 47);['m_-101', 'm_-110', 'm_0-11', '3_111']
(13, 59);['m_-101', 'm_-110', 'm_0-11', '3_111']
(13, 94);['m_-101', 'm_-110', 'm_0-11', '3_111']
(20, 47);['m_110', 'm_101', 'm_0-11', '3_-111']
(20, 56);['m_110', 'm_101', 'm_0-11', '3_-111']
(20, 82);['m_110', 'm_101', 'm_0-11', '3_-111']
(36, 47);['m_011', 'm_101', 'm_-110', '3_11-1']
(36, 80);['m_011', 'm_101', 'm_-110', '3_11-1']
(36, 92);['m_011', 'm_101', 'm_-110', '3_11-1']
(37, 47);['m_110', 'm_011', 'm_-101', '3_1-11']
(37, 75);['m_110', 'm_011', 'm_-101', '3_1-11']
(37, 84);['m_110', 'm_011', 'm_-101', '3_1-11']
(47, 56);['m_110', 'm_101', 'm_0-11', '3_-111']
(47, 59);['m_-101', 'm_-110', 'm_0-11', '3_111']
(47, 75);['m_110', 'm_011', 'm_-101', '3_1-11']
(47, 80);['m_011', 'm_101', 'm_-110', '3_11-1']
(47, 82);['m_110', 'm_101', 'm_0-11', '3_-111']
(47, 84);['m_110', 'm_011', 'm_-101', '3_1-11']
(47, 92);['m_011', 'm_101', 'm_-110', '3_11-1']
(47, 94);['m_-101', 'm_-110', 'm_0-11', '3_111']
(56, 82);['m_110', 'm_101', 'm_0-11', '3_-111']
(59, 94);['m_-101', 'm_-110', 'm_0-11', '3_111']
(75, 84);['m_110', 'm_011', 'm_-101', '3_1-11']
(80, 92);['m_011', 'm_101', 'm_-110', '3_11-1']
(0, 2);['m_001', 'm_-110', '2_110']
(0, 10);['m_010', 'm_-101', '2_101']
(0, 12);['m_011', 'm_0-11', '2_100']
(0, 82);['m_100', 'm_0-11', '2_011']
(0, 84);['m_101', 'm_-101', '2_010']
(0, 92);['m_110', 'm_-110', '2_001']
(1, 11);['m_010', 'm_001', '2_100']
(1, 24);['m_001', 'm_-110', '2_110']
